75.txt: 304.92346
90.txt: 78.225006
45.txt: 5358.4453
60.txt: 59.809002
15.txt: 85.62399
30.txt: 15.374
0.txt: 78.86513
76.txt: 358.85382
91.txt: 442.08264
46.txt: 7.695333
61.txt: 252.42268
16.txt: 456.1223
31.txt: 3900.009
1.txt: 2872.2456
77.txt: 251.5015
92.txt: 3321.8064
47.txt: 27.459
62.txt: 61.682
17.txt: 5759.962
32.txt: 25.208
2.txt: 108.011
78.txt: 20.343
93.txt: 38.907906
48.txt: 3442.2126
63.txt: 413.38538
18.txt: 3515.9531
33.txt: 75.80906
3.txt: 2164.6846
79.txt: 169.70874
94.txt: 400.74036
49.txt: 35.294003
64.txt: 55.936996
19.txt: 124.591
34.txt: 195.97954
4.txt: 11.671
80.txt: 1236.5109
95.txt: 31.50567
50.txt: 77.255
65.txt: 2675.5225
20.txt: 504.12546
35.txt: 1870.4858
5.txt: 1935.9514
81.txt: 496.6749
96.txt: 24.672312
51.txt: 84.96
66.txt: 68.913
21.txt: 18.85
36.txt: 530.0634
6.txt: 27.733
82.txt: 3883.3079
97.txt: 15.256
52.txt: 47.188
67.txt: 51.399002
22.txt: 6733.7666
37.txt: 3666.9453
7.txt: 1074.8119
83.txt: 775.17377
98.txt: 21.772999
53.txt: 61.882
68.txt: 14.47413
23.txt: 7.378
38.txt: 3.533
8.txt: 1165.9642
84.txt: 971.8882
99.txt: 7.7299995
54.txt: 1463.8068
69.txt: 516.4848
24.txt: 70.70218
39.txt: 76.43104
9.txt: 99.05072
85.txt: 625.14465
55.txt: 131.10555
70.txt: 5127.2104
25.txt: 4131.7417
40.txt: 2.26944
10.txt: 165.39523
86.txt: 5014.183
56.txt: 20.686
71.txt: 620.9164
26.txt: 28.43
41.txt: 81.895996
11.txt: 449.94418
87.txt: 612.36255
57.txt: 357.23828
72.txt: 4.2679996
27.txt: 1679.701
42.txt: 150.90874
12.txt: 65.48144
88.txt: 3.841
58.txt: 47.284
73.txt: 119.175
28.txt: 18.281
43.txt: 4765.071
13.txt: 210.20018
89.txt: 562.0645
59.txt: 173.61829
74.txt: 1963.3073
29.txt: 21.651
44.txt: 68.011
14.txt: 70.844
